COLOR,W1,W2,W3,W4,W5,version
B,483.4898268923243,287.096395866225,49999991.51926376,241.34579913293098,241.34579913293098,36
G,470.03763126672027,294.42765091207264,49999992.39817257,264.87104527246373,264.87104527246373,37
R,471.66838389402017,307.2966688051019,49999988.74312186,264.8185726820019,264.8185726820019,37
B,482.8806947496379,289.5086826506554,49999990.52749933,244.21676187985364,244.21676187985364,37
R,471.00412680909585,308.6251829749503,49999988.74312186,266.42148704270113,266.42148704270113,38
G,469.2156427584967,295.5985146067348,49999992.39817257,266.6363430171254,266.6363430171254,38
B,482.21642145325086,290.8372292434295,49999990.52749933,245.53823993132428,245.53823993132428,38
G,469.215804335364,295.598206000115,49999992.39817257,266.63599756690223,266.63599756690223,39
R,470.8589206448092,311.43313401146617,49999987.84312351,267.33017712624286,267.33017712624286,39
B,481.6072883219426,293.2495177149216,49999989.53573489,248.4092044959184,248.4092044959184,39
R,470.19466407711167,312.7616471468611,49999987.84312351,268.93306899972083,268.93306899972083,40
G,468.393815461892,296.7690704902115,49999992.39817257,268.4012963896435,268.4012963896435,40
B,480.9430141682747,294.5780660222575,49999989.53573489,249.73068382094147,249.73068382094147,40
R,470.19491278187996,312.7613027905257,49999987.84312351,268.9325462997132,268.9325462997132,41
G,467.4392521379119,300.2561272862899,49999992.39817257,269.726554983582,269.726554983582,41
B,479.9378700519019,297.56493101821115,49999988.37169054,250.5149277365954,250.5149277365954,41
B,479.9380174690819,297.5646361820042,49999988.37169054,250.514611377332,250.514611377332,42
R,467.6727892228837,314.7956121025468,49999987.84312351,272.26070333520244,272.26070333520244,42
G,465.76267951877196,303.2060206930372,49999992.14317257,273.5055626280371,273.5055626280371,42
R,467.6730925781025,314.79534746439333,49999987.84312351,272.2602296323121,272.2602296323121,43
G,464.76135868350167,306.37548468662675,49999991.50729633,276.81336813446256,276.81336813446256,43
B,479.04478792858026,300.7218000166696,49999987.87653499,250.310069565537,250.310069565537,43
R,467.00883515718107,316.123862306236,49999987.84312351,273.8631217493616,273.8631217493616,44
G,463.93937058128137,307.54634978514287,49999991.50729633,278.57866667168486,278.57866667168486,44
B,478.38051761470666,302.0503406444168,49999987.87653499,251.63153876043052,251.63153876043052,44
B,478.38066661583883,302.0500426403053,49999987.87653499,251.6312186382005,251.6312186382005,45
R,464.4867057411006,318.1581650583448,49999987.84312351,277.19129153382187,277.19129153382187,45
G,462.262798725352,310.49624574615467,49999991.25229634,282.35768941641317,282.35768941641317,45
G,462.26299589610534,310.4959645904443,49999991.25229634,282.3572907383909,282.3572907383909,46
R,461.62200159806395,320.61966555165515,49999987.84312351,280.10870004552675,280.10870004552675,46
B,477.18926427159516,306.35193109898375,49999987.87653499,255.1284785877348,255.1284785877348,46
R,461.62222063617935,320.6192979925764,49999987.84312351,280.1081768880049,280.1081768880049,47
G,461.73477032857664,313.14111406194644,49999990.10880244,284.49412918037183,284.49412918037183,47
B,475.8331944977228,308.2305815965019,49999986.9255358,257.8895930097255,257.8895930097255,47
R,460.9579626125954,321.9478140397443,49999987.84312351,281.71106712250787,281.71106712250787,48
G,460.9127817283026,314.311981098197,49999990.10880244,286.2594299350987,286.2594299350987,48
B,475.16892336415816,309.559123863631,49999986.9255358,259.21106259459174,259.21106259459174,48
B,475.169122070296,309.55879232028036,49999986.9255358,259.21075156065535,259.21075156065535,49
R,460.4707685262706,324.70866153337914,49999987.3454973,284.30664597241434,284.30664597241434,49
G,460.78510893501067,317.4492156207882,49999989.11600236,286.99790892174616,286.99790892174616,49
R,460.4444242839656,324.65819210951395,49999987.3454973,284.479722342332,284.479722342332,50
G,459.8833793442282,318.2036778315353,49999987.67621101,291.8696566089658,291.8696566089658,50
B,475.1399989604656,311.18360673689494,49999985.43097471,259.40139052693183,259.40139052693183,50
B,475.1404059377513,311.1831479161251,49999985.43097471,259.2204247878656,259.2204247878656,51
R,460.442192218857,327.6206160086808,49999986.84666045,284.48334838419487,284.48334838419487,51
G,458.76791920834665,320.03714749136964,49999986.21311882,297.1967908946753,297.1967908946753,51
R,460.44243995743614,327.62027164119763,49999986.84666045,284.4827911530488,284.4827911530488,52
G,457.89900726249374,323.78557464352167,49999985.46865382,300.83477875344767,300.83477875344767,52
B,473.32684617092576,314.41859648425077,49999985.43097471,263.20074294252083,263.20074294252083,52
G,457.6445373149208,323.4131533532862,49999985.46865382,300.51477123437263,300.51477123437263,53
R,459.32230795033433,330.3901781658192,49999986.84666045,286.56881206165133,286.56881206165133,53
B,471.62273754923234,315.7618132363174,49999983.96173964,267.4901514441072,267.4901514441072,53
R,459.3225560546108,330.3898313062862,49999986.84666045,286.56830699186673,286.56830699186673,54
G,456.6391276179113,324.9038975179515,49999984.10798974,304.9913110762556,304.9913110762556,54
B,470.32635969455526,316.9163346458403,49999983.02309359,270.36587126456084,270.36587126456084,54
G,456.639397618753,324.90370862928296,49999984.10798974,304.99090164693195,304.99090164693195,55
R,459.32196744881793,332.93298030055234,49999985.84712647,286.569895887092,286.569895887092,55
B,469.0532391615516,318.18720626011503,49999982.03301308,274.2566093073532,274.2566093073532,55
R,458.6298541845311,333.2190857390717,49999985.5308144,287.8497265240409,287.8497265240409,56
G,456.0706033935954,325.4579618814604,49999983.82227624,306.4868822477178,306.4868822477178,56
B,468.4641934060237,318.5221085835912,49999981.57534067,274.3048143499202,274.3048143499202,56
R,458.6298541845311,333.2190857390717,49999985.5308144,287.8497265240409,287.8497265240409,57
G,456.0706033935954,325.4579618814604,49999983.82227624,306.4868822477178,306.4868822477178,57
B,468.4641934060237,318.5221085835912,49999981.57534067,274.3048143499202,274.3048143499202,57
R,458.6298541845311,333.2190857390717,49999985.5308144,287.8497265240409,287.8497265240409,58
G,456.0706033935954,325.4579618814604,49999983.82227624,306.4868822477178,306.4868822477178,58
B,468.4641934060237,318.5221085835912,49999981.57534067,274.3048143499202,274.3048143499202,58
R,458.6298541845311,333.2190857390717,49999985.5308144,287.8497265240409,287.8497265240409,59
G,456.0706033935954,325.4579618814604,49999983.82227624,306.4868822477178,306.4868822477178,59
B,468.4641934060237,318.5221085835912,49999981.57534067,274.3048143499202,274.3048143499202,59
R,458.6298541845311,333.2190857390717,49999985.5308144,287.8497265240409,287.8497265240409,60
G,456.0706033935954,325.4579618814604,49999983.82227624,306.4868822477178,306.4868822477178,60
B,468.4641934060237,318.5221085835912,49999981.57534067,274.3048143499202,274.3048143499202,60
R,458.6298541845311,333.2190857390717,49999985.5308144,287.8497265240409,287.8497265240409,61
G,456.0706033935954,325.4579618814604,49999983.82227624,306.4868822477178,306.4868822477178,61
B,468.4641934060237,318.5221085835912,49999981.57534067,274.3048143499202,274.3048143499202,61
R,458.6298541845311,333.2190857390717,49999985.5308144,287.8497265240409,287.8497265240409,62
G,456.0706033935954,325.4579618814604,49999983.82227624,306.4868822477178,306.4868822477178,62
B,468.4641934060237,318.5221085835912,49999981.57534067,274.3048143499202,274.3048143499202,62
R,458.6298541845311,333.2190857390717,49999985.5308144,287.8497265240409,287.8497265240409,63
G,456.0706033935954,325.4579618814604,49999983.82227624,306.4868822477178,306.4868822477178,63
B,468.4641934060237,318.5221085835912,49999981.57534067,274.3048143499202,274.3048143499202,63
R,458.6298541845311,333.2190857390717,49999985.5308144,287.8497265240409,287.8497265240409,64
G,456.0706033935954,325.4579618814604,49999983.82227624,306.4868822477178,306.4868822477178,64
B,468.4641934060237,318.5221085835912,49999981.57534067,274.3048143499202,274.3048143499202,64
R,457.70233548535117,334.1849392296003,49999985.5308144,289.9810402042512,289.9810402042512,65
G,455.09464277921785,325.83095928353384,49999983.57412124,307.9582316106718,307.9582316106718,65
B,467.97720573459867,319.4565765487787,49999981.24592904,275.3702859635976,275.3702859635976,65
R,457.70233548535117,334.1849392296003,49999985.5308144,289.9810402042512,289.9810402042512,66
G,455.09464277921785,325.83095928353384,49999983.57412124,307.9582316106718,307.9582316106718,66
B,467.97720573459867,319.4565765487787,49999981.24592904,275.3702859635976,275.3702859635976,66
R,457.70233548535117,334.1849392296003,49999985.5308144,289.9810402042512,289.9810402042512,67
G,455.09464277921785,325.83095928353384,49999983.57412124,307.9582316106718,307.9582316106718,67
B,467.97720573459867,319.4565765487787,49999981.24592904,275.3702859635976,275.3702859635976,67
R,457.70233548535117,334.1849392296003,49999985.5308144,289.9810402042512,289.9810402042512,68
G,455.09464277921785,325.83095928353384,49999983.57412124,307.9582316106718,307.9582316106718,68
B,467.97720573459867,319.4565765487787,49999981.24592904,275.3702859635976,275.3702859635976,68
R,457.70233548535117,334.1849392296003,49999985.5308144,289.9810402042512,289.9810402042512,69
G,455.09464277921785,325.83095928353384,49999983.57412124,307.9582316106718,307.9582316106718,69
B,467.97720573459867,319.4565765487787,49999981.24592904,275.3702859635976,275.3702859635976,69
R,457.70233548535117,334.1849392296003,49999985.5308144,289.9810402042512,289.9810402042512,70
G,455.09464277921785,325.83095928353384,49999983.57412124,307.9582316106718,307.9582316106718,70
B,467.97720573459867,319.4565765487787,49999981.24592904,275.3702859635976,275.3702859635976,70
R,457.70233548535117,334.1849392296003,49999985.5308144,289.9810402042512,289.9810402042512,71
G,455.09464277921785,325.83095928353384,49999983.57412124,307.9582316106718,307.9582316106718,71
B,467.97720573459867,319.4565765487787,49999981.24592904,275.3702859635976,275.3702859635976,71
R,457.70233548535117,334.1849392296003,49999985.5308144,289.9810402042512,289.9810402042512,72
G,455.09464277921785,325.83095928353384,49999983.57412124,307.9582316106718,307.9582316106718,72
B,467.97720573459867,319.4565765487787,49999981.24592904,275.3702859635976,275.3702859635976,72
R,457.01022137758935,334.47104845704035,49999985.21450234,291.310873390709,291.310873390709,73
G,454.52584857762236,326.3852161965616,49999983.28840774,309.4542165881152,309.4542165881152,73
B,467.3881425109696,319.7914602522996,49999980.78825663,275.41863500889906,275.41863500889906,73
R,457.01022137758935,334.47104845704035,49999985.21450234,291.310873390709,291.310873390709,74
G,454.52584857762236,326.3852161965616,49999983.28840774,309.4542165881152,309.4542165881152,74
B,467.3881425109696,319.7914602522996,49999980.78825663,275.41863500889906,275.41863500889906,74
R,457.01022137758935,334.47104845704035,49999985.21450234,291.310873390709,291.310873390709,75
G,454.52584857762236,326.3852161965616,49999983.28840774,309.4542165881152,309.4542165881152,75
B,467.3881425109696,319.7914602522996,49999980.78825663,275.41863500889906,275.41863500889906,75
R,457.01022137758935,334.47104845704035,49999985.21450234,291.310873390709,291.310873390709,76
G,454.52584857762236,326.3852161965616,49999983.28840774,309.4542165881152,309.4542165881152,76
B,467.3881425109696,319.7914602522996,49999980.78825663,275.41863500889906,275.41863500889906,76
R,457.01022137758935,334.47104845704035,49999985.21450234,291.310873390709,291.310873390709,77
G,454.52584857762236,326.3852161965616,49999983.28840774,309.4542165881152,309.4542165881152,77
B,467.3881425109696,319.7914602522996,49999980.78825663,275.41863500889906,275.41863500889906,77
R,457.01022137758935,334.47104845704035,49999985.21450234,291.310873390709,291.310873390709,78
G,454.52584857762236,326.3852161965616,49999983.28840774,309.4542165881152,309.4542165881152,78
B,467.3881425109696,319.7914602522996,49999980.78825663,275.41863500889906,275.41863500889906,78
R,457.01022137758935,334.47104845704035,49999985.21450234,291.310873390709,291.310873390709,79
G,454.52584857762236,326.3852161965616,49999983.28840774,309.4542165881152,309.4542165881152,79
B,467.3881425109696,319.7914602522996,49999980.78825663,275.41863500889906,275.41863500889906,79
R,457.01022137758935,334.47104845704035,49999985.21450234,291.310873390709,291.310873390709,80
G,454.52584857762236,326.3852161965616,49999983.28840774,309.4542165881152,309.4542165881152,80
B,467.3881425109696,319.7914602522996,49999980.78825663,275.41863500889906,275.41863500889906,80
R,457.01022137758935,334.47104845704035,49999985.21450234,291.310873390709,291.310873390709,81
G,454.52584857762236,326.3852161965616,49999983.28840774,309.4542165881152,309.4542165881152,81
B,467.3881425109696,319.7914602522996,49999980.78825663,275.41863500889906,275.41863500889906,81
R,457.0105293320393,334.47078258093273,49999985.21450234,291.3103625443332,291.3103625443332,82
G,453.52067953655916,329.55087372245674,49999982.6525315,312.7637110839836,312.7637110839836,82
B,466.5886368057805,323.0418365711731,49999980.29310108,275.2319823147662,275.2319823147662,82
G,453.52083905856637,329.55055714305536,49999982.6525315,312.76340222584565,312.76340222584565,83
R,455.00231803608216,336.1092420137549,49999984.71566549,293.31392597335554,293.31392597335554,83
B,465.38312669449334,325.56600759597325,49999979.58465108,278.57707303625483,278.57707303625483,83
B,465.3833213864276,325.56568300491483,49999979.58465108,278.57676970419783,278.57676970419783,84
R,454.4831254388808,339.08234063176576,49999984.22555213,295.72695228078067,295.72695228078067,84
G,452.27783875497147,331.7683476441936,49999981.77374465,317.5760425234326,317.5760425234326,84
R,454.48337388455855,339.081993435726,49999984.22555213,295.72636862668924,295.72636862668924,85
G,451.3356748401923,334.0852070293238,49999981.27455886,319.16814236138833,319.16814236138833,85
B,464.3320642088744,327.6622127046767,49999978.58644958,280.8490769770606,280.8490769770606,85
R,454.4836234201049,339.0816472020735,49999984.22555213,295.7257867708637,295.7257867708637,86
G,450.10244224996717,338.1679782743105,49999981.27455886,322.1513147051764,322.1513147051764,86
B,463.53737844896017,330.71015304547626,49999977.34559809,281.86003118623415,281.86003118623415,86
R,454.4068964431221,338.93478166405185,49999984.22555213,295.62482565575795,295.62482565575795,87
G,448.6879922179927,340.25379240153234,49999980.62794998,324.4550241146765,324.4550241146765,87
B,462.99228068918296,333.65920396347695,49999976.35991734,284.26507977402804,284.26507977402804,87
G,448.6881794725859,340.2535286190307,49999980.62794998,324.45464467164317,324.45464467164317,88
R,453.8195601036037,342.79547969259613,49999983.80958713,298.33612952385084,298.33612952385084,88
B,461.5504006692514,337.18787427733736,49999976.35991734,288.7058949564174,288.7058949564174,88
R,453.1553050485482,344.123989802707,49999983.80958713,299.9390032837709,299.9390032837709,89
G,447.86618212909,341.42441366503976,49999980.62794998,326.2199704496091,326.2199704496091,89
B,460.88612580562284,338.5164240045945,49999976.35991734,290.0273672102103,290.0273672102103,89
R,453.1555555756568,344.12363792056755,49999983.80958713,299.93841411662436,299.93841411662436,90
G,446.6329437156974,345.50718580809615,49999980.62794998,329.20315719407864,329.20315719407864,90
B,460.0914075649734,341.5643297283528,49999975.11906585,291.03855170599303,291.03855170599303,90
G,446.6331312200845,345.50692195028967,49999980.62794998,329.20277653052335,329.20277653052335,91
R,451.72395379350996,346.6652526430409,49999982.98862213,304.0964106994338,304.0964106994338,91
B,458.705068321251,344.544857955449,49999974.86406586,295.47642706732347,295.47642706732347,91
B,458.70522115498716,344.54455229289727,49999974.86406586,295.4761587687912,295.4761587687912,92
R,450.3395852324588,348.677430872996,49999981.7068309,309.1786871988777,309.1786871988777,92
G,445.35059155415087,347.73505708822853,49999980.62794998,332.48387151608944,332.48387151608944,92
R,449.6753258841956,350.0059495695224,49999981.7068309,310.78156932473337,310.78156932473337,93
G,444.52859434898807,348.90594332320296,49999980.62794998,334.2491982849574,334.2491982849574,93
B,458.04094603942,345.87310252403154,49999974.86406586,296.797630105411,296.797630105411,93
G,444.5287899331858,348.9057028161717,49999980.62794998,334.2488572053484,334.2488572053484,94
R,448.8554816898837,352.95276521422545,49999980.95240084,313.5008183675661,313.5008183675661,94
B,457.19957273306517,348.8921816843065,49999974.44810086,297.9980381777468,297.9980381777468,94
G,444.52893180181917,348.90537188893853,49999980.62794998,334.2488621930022,334.2488621930022,95
R,447.9747913331532,355.19325144211535,49999980.45724529,316.34274464632074,316.34274464632074,95
B,455.9878518195064,350.7870042092626,49999973.53329901,299.9306166790731,299.9306166790731,95
B,455.9879950382365,350.78671777082917,49999973.53329901,299.93032949879006,299.93032949879006,96
R,447.7481369080458,356.9062340155812,49999979.1649438,316.8661991402894,316.8661991402894,96
G,443.476036039383,349.5684260379572,49999979.24812843,340.1595307794922,340.1595307794922,96
R,446.756119447692,357.91361936022753,49999979.1649438,318.04309264121105,318.04309264121105,97
G,442.49948120583946,350.591400881729,49999979.24812843,341.0171287741928,341.0171287741928,97
B,455.30967818980264,352.08943833790437,49999973.53329901,300.74684101669436,300.74684101669436,97
R,446.75632366000326,357.91326991924126,49999979.1649438,318.0427791171572,318.0427791171572,98
G,441.36104350138686,353.7801492199684,49999978.37334058,344.1530574515625,344.1530574515625,98
B,454.2909579020177,355.39423216706945,49999973.53329901,303.27641559683036,303.27641559683036,98
R,446.59961591461337,358.5464882553456,49999978.87492268,318.73938011235975,318.73938011235975,99
G,441.0935257912246,354.33394095917015,49999977.92425597,345.896982384749,345.896982384749,99
B,453.39092705926595,355.2859787272232,49999973.06292833,303.9776242219816,303.9776242219816,99
R,446.59961591461337,358.5464882553456,49999978.87492268,318.73938011235975,318.73938011235975,100
G,441.0935257912246,354.33394095917015,49999977.92425597,345.896982384749,345.896982384749,100
B,453.39092705926595,355.2859787272232,49999973.06292833,303.9776242219816,303.9776242219816,100
R,446.59961591461337,358.5464882553456,49999978.87492268,318.73938011235975,318.73938011235975,101
G,441.0935257912246,354.33394095917015,49999977.92425597,345.896982384749,345.896982384749,101
B,453.39092705926595,355.2859787272232,49999973.06292833,303.9776242219816,303.9776242219816,101
R,446.59961591461337,358.5464882553456,49999978.87492268,318.73938011235975,318.73938011235975,102
G,441.0935257912246,354.33394095917015,49999977.92425597,345.896982384749,345.896982384749,102
B,453.39092705926595,355.2859787272232,49999973.06292833,303.9776242219816,303.9776242219816,102
R,446.59961591461337,358.5464882553456,49999978.87492268,318.73938011235975,318.73938011235975,103
G,441.0935257912246,354.33394095917015,49999977.92425597,345.896982384749,345.896982384749,103
B,453.39092705926595,355.2859787272232,49999973.06292833,303.9776242219816,303.9776242219816,103
R,446.59961591461337,358.5464882553456,49999978.87492268,318.73938011235975,318.73938011235975,104
G,441.0935257912246,354.33394095917015,49999977.92425597,345.896982384749,345.896982384749,104
B,453.39092705926595,355.2859787272232,49999973.06292833,303.9776242219816,303.9776242219816,104
R,446.59961591461337,358.5464882553456,49999978.87492268,318.73938011235975,318.73938011235975,105
G,441.0935257912246,354.33394095917015,49999977.92425597,345.896982384749,345.896982384749,105
B,453.39092705926595,355.2859787272232,49999973.06292833,303.9776242219816,303.9776242219816,105
R,446.59961591461337,358.5464882553456,49999978.87492268,318.73938011235975,318.73938011235975,106
G,441.0935257912246,354.33394095917015,49999977.92425597,345.896982384749,345.896982384749,106
B,453.39092705926595,355.2859787272232,49999973.06292833,303.9776242219816,303.9776242219816,106
